unique_code,violation_type,category,vehicle_age,belts,personal_injured,contributed_to_accident,property_damaged,vehicle_category,arrest_category
"""Code_25809""",1,13,33,1,0,0,0,1,1
"""Code_6804""",1,5,16,1,0,0,0,1,1
"""Code_13380""",1,7,14,1,0,0,0,2,1
"""Code_22575""",1,5,20,1,0,0,0,1,1
"""Code_27048""",1,4,8,1,0,0,0,1,2
"""Code_18901""",1,7,9,1,0,0,0,1,1
"""Code_27169""",1,2,9,1,0,0,0,1,1
"""Code_3271""",1,7,24,1,0,0,0,1,1
"""Code_4553""",1,9,22,1,0,1,1,1,1
"""Code_19893""",1,7,24,1,0,0,0,1,1
"""Code_27990""",1,9,19,1,1,0,0,1,1
"""Code_13747""",1,13,17,1,0,0,0,1,1
"""Code_17336""",1,12,12,1,0,0,0,4,1
"""Code_15904""",1,7,17,1,0,0,0,1,1
"""Code_97""",1,15,22,1,0,0,0,1,1
"""Code_14587""",1,3,25,1,1,0,0,1,1
"""Code_13314""",1,4,21,1,0,0,0,3,1
"""Code_17423""",1,8,24,1,0,0,0,1,1
"""Code_30228""",1,7,11,1,0,0,0,1,1
"""Code_28490""",1,3,16,1,0,0,0,1,1
"""Code_6608""",1,16,26,1,0,0,0,1,1
"""Code_27191""",1,2,17,1,0,0,0,1,1
"""Code_13776""",1,9,20,1,0,0,1,1,1
"""Code_8152""",1,3,17,1,0,0,0,1,1
"""Code_10212""",1,12,18,1,0,0,0,1,1
"""Code_31629""",1,4,28,1,0,0,0,1,2
"""Code_9473""",1,1,11,1,0,0,0,2,1
"""Code_1702""",1,7,22,1,0,0,0,1,1
"""Code_14527""",1,7,21,1,0,0,0,1,2
"""Code_20440""",1,7,22,1,0,0,0,1,2
"""Code_19626""",1,0,24,1,0,0,0,1,1
"""Code_7042""",1,7,11,1,0,0,0,1,1
"""Code_6257""",1,15,14,1,0,0,0,1,1
"""Code_21909""",1,2,24,1,0,1,1,3,1
"""Code_26831""",1,7,27,1,0,0,0,1,1
"""Code_17164""",1,7,18,1,0,0,0,1,1
"""Code_18012""",1,7,33,1,0,0,0,1,1
"""Code_27666""",1,5,14,1,0,0,0,1,1
"""Code_9740""",1,7,17,1,0,0,0,1,1
"""Code_3769""",1,5,23,1,0,0,0,1,1
"""Code_20559""",1,4,10,1,0,0,0,1,2
"""Code_20007""",1,7,34,1,0,0,0,1,1
"""Code_1132""",1,2,28,1,0,0,1,1,1
"""Code_6490""",1,15,30,1,0,0,0,1,1
"""Code_28654""",1,2,21,1,0,0,0,1,1
"""Code_20665""",1,12,19,1,0,0,0,1,1
"""Code_19778""",1,7,17,1,0,0,0,1,1
"""Code_29487""",1,7,13,1,0,0,0,1,1
"""Code_19130""",1,4,13,1,0,0,0,2,2
"""Code_1555""",1,7,14,1,0,0,0,1,1
"""Code_22165""",1,2,26,1,0,0,0,1,1
"""Code_5772""",1,7,8,1,0,0,0,1,1
"""Code_27155""",1,1,22,1,0,0,0,1,1
"""Code_635""",1,13,29,1,0,0,0,1,1
"""Code_8603""",1,15,22,1,0,0,0,1,1
"""Code_32087""",1,4,10,1,0,0,0,1,2
"""Code_28849""",1,12,13,1,0,0,0,1,1
"""Code_3538""",1,1,25,1,0,0,0,1,1
"""Code_31196""",1,2,6,1,0,0,0,1,1
"""Code_25840""",1,6,23,1,0,0,0,1,1
"""Code_10465""",1,8,14,1,0,1,1,1,1
"""Code_25282""",1,1,37,1,0,0,0,1,1
"""Code_24770""",1,4,8,1,0,0,0,1,1
"""Code_30531""",1,15,26,1,0,0,0,1,1
"""Code_25136""",1,13,15,1,0,0,0,1,1
"""Code_8394""",1,5,18,1,0,0,0,1,1
"""Code_10409""",1,7,28,1,0,0,0,1,1
"""Code_10026""",1,1,11,1,0,0,0,1,1
"""Code_19335""",1,15,17,1,0,0,0,1,1
"""Code_27355""",1,2,17,1,0,0,0,1,1
"""Code_27621""",1,9,20,1,0,0,0,1,1
"""Code_6231""",1,7,23,1,0,0,0,1,1
"""Code_214""",1,7,18,1,0,0,0,1,1
